Wavelength,Log10MeanIntensityRatio
343.3,0.47712125471966244
343.8,0.3010299956639812
344.4,0.3979400086720376
344.9,0.3979400086720376
345.4,0.47712125471966244
346.0,0.3010299956639812
346.5,0.3010299956639812
347.0,0.2218487496163564
347.6,0.3010299956639812
348.1,0.3979400086720376
348.6,0.3010299956639812
349.2,0.3979400086720376
349.7,0.6989700043360187
350.2,0.6989700043360187
350.7,0.6989700043360187
351.3,0.47712125471966244
351.8,0.47712125471966244
352.3,0.7781512503836436
352.9,0.7781512503836436
353.4,0.7781512503836436
353.9,0.7781512503836436
354.5,0.6989700043360187
355.0,0.6989700043360187
355.5,0.6989700043360187
356.1,0.7781512503836436
356.6,0.7781512503836436
357.1,0.7781512503836436
357.7,0.6989700043360187
358.2,0.6989700043360187
358.7,0.6020599913279624
359.3,0.6020599913279624
359.8,0.6020599913279624
360.3,0.6020599913279624
360.8,0.6020599913279624
361.4,0.6020599913279624
361.9,0.6020599913279624
362.4,0.6020599913279624
363.0,0.6020599913279624
363.5,0.6020599913279624
364.0,0.6020599913279624
364.6,0.6020599913279624
365.1,0.6020599913279624
365.6,0.6020599913279624
366.2,0.6020599913279624
366.7,0.6020599913279624
367.2,0.6020599913279624
367.8,0.47712125471966244
368.3,0.47712125471966244
368.8,0.47712125471966244
369.4,0.47712125471966244
369.9,0.47712125471966244
370.4,0.6020599913279624
370.9,0.6989700043360187
371.5,0.6989700043360187
372.0,0.6989700043360187
372.5,0.6020599913279624
373.1,0.6020599913279624
373.6,0.47712125471966244
374.1,0.6020599913279624
374.7,0.6020599913279624
375.2,0.6020599913279624
375.7,0.6989700043360187
376.3,0.6989700043360187
376.8,0.6020599913279624
377.3,0.6020599913279624
377.9,0.47712125471966244
378.4,0.47712125471966244
378.9,0.6020599913279624
379.5,0.6989700043360187
380.0,0.6989700043360187
380.5,0.6989700043360187
381.0,0.6020599913279624
381.6,0.6020599913279624
382.1,0.6989700043360187
382.6,0.6020599913279624
383.2,0.6020599913279624
383.7,0.47712125471966244
384.2,0.6020599913279624
384.8,0.6020599913279624
385.3,0.6020599913279624
385.8,0.6020599913279624
386.4,0.6020599913279624
386.9,0.6020599913279624
387.4,0.6020599913279624
388.0,0.47712125471966244
388.5,0.47712125471966244
389.0,0.47712125471966244
389.5,0.47712125471966244
390.1,0.47712125471966244
390.6,0.6020599913279624
391.1,0.47712125471966244
391.7,0.6020599913279624
392.2,0.6020599913279624
392.7,0.6020599913279624
393.3,0.6020599913279624
393.8,0.6020599913279624
394.3,0.6989700043360187
394.9,0.6989700043360187
395.4,0.6020599913279624
395.9,0.6020599913279624
396.5,0.6020599913279624
397.0,0.6020599913279624
397.5,0.6020599913279624
398.1,0.6020599913279624
398.6,0.6020599913279624
399.1,0.6020599913279624
399.6,0.6020599913279624
400.2,0.6020599913279624
400.7,0.6020599913279624
401.2,0.6020599913279624
401.8,0.6020599913279624
402.3,0.6020599913279624
402.8,0.6020599913279624
403.4,0.6020599913279624
403.9,0.6020599913279624
404.4,0.6020599913279624
405.0,0.6020599913279624
405.5,0.6020599913279624
406.0,0.6020599913279624
406.6,0.6989700043360187
407.1,0.6020599913279624
407.6,0.6020599913279624
408.2,0.6989700043360187
408.7,0.6989700043360187
409.2,0.6989700043360187
409.7,0.6989700043360187
410.3,0.6989700043360187
410.8,0.7781512503836436
411.3,0.7781512503836436
411.9,0.7781512503836436
412.4,0.8450980400142568
412.9,0.8450980400142568
413.5,0.9030899869919435
414.0,0.9030899869919435
414.5,0.9030899869919435
415.1,0.9030899869919435
415.6,0.9030899869919435
416.1,0.9030899869919435
416.7,0.9030899869919435
417.2,0.9542425094393249
417.7,1.0
418.3,1.0
418.8,1.041392685158225
419.3,1.041392685158225
419.8,1.0791812460476249
420.4,1.1139433523068367
420.9,1.146128035678238
421.4,1.1760912590556813
422.0,1.1760912590556813
422.5,1.2041199826559248
423.0,1.2304489213782739
